Sentence,"taong - [0:'táong', 1:'taóng']",,
30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.,0,,He has been working for the welfare of his people for 30 years.
Ako ang pinakatamad na taong kilala ko.,0,,I am the laziest person I know.
Ako ay 17 taong gulang din.,1,,I am also 17 years old.
Ako ay isang taong maingat.,0,,I am a careful person.
Ako ay naninigarilyo mula ako'y labing-siyam na taong gulang.,1,,I have been smoking since I was nineteen years old.
Ako'y labinlimang taong gulang. Bakit mo naitanong?,1,,I am fifteen years old. Why did you ask?
Alam ba ninyo kung sino ang mga taong ito?,0,,Do you know who these people are?
Alam ko na tatlumpung taong gulang si Tom.,1,,I know that Tom is thirty years old.
Alam kong hindi ka talagang tanga. Hindi ka sanay sa ibang taong may ibang lahi.,0,,I know you're not really stupid. You are not used to other people of other races.
Alam kong wala ka pang labing-walong taong gulang.,1,,I know you are under eighteen.
Ang aking ina ay higit sa 80 taong gulang.,1,,My mother is over 80 years old.
Ang aking kaibigan ay labimpitong taong gulang.,1,,My friend is seventeen years old.
Ang bakasyon ay mainam para sa mga taong nababagot sa buong taon.,0,,Vacations are ideal for people who are bored all year round.
Ang dami pong mga riot noong taong iyon.,1,,There were a lot of riots that year.
Ang daming mga riot noong taong iyon.,1,,There were many riots that year.
"Ang hula ko, higit tatlumpung taong gulang na ang guro namin sa agham.",1,,My guess is that our science teacher is over thirty years old.
"Ang hula ko, higit tatlumpung taong gulang na ang guro natin sa agham.",1,,My guess is that our science teacher is over thirty years old.
"Ang Ikalawang Buhay ay mundong may mga gusali, ilog, at dagat na ang tao'y puwedeng maglakad sa hugis ng taong ang pangalan at aspekto ay pinili nilang sarili.",0,,"The Second Life is a world with buildings, rivers, and seas where people can walk in the shape of a person whose name and appearance they choose."
Ang importanteng alalahanin ay walang taong isang daang porsiyentong anuman.,0,,The important concern is that no one is one hundred percent anything.
Ang isang araw na hindi tayo magkasama ay parang tatlong taong paghihiwalay.,1,,A day that we are not together is like three years apart.
"Ang isang taong suplay ng gamot ay nagkakahalagang $50,000.",0,,"A one-year supply of the drug costs $50,000."
"Ang labanan sa Marignano ay naganap noong ika-13 at ika-14 ng Setyembre, taong 1515.",1,,"The battle of Marignano took place on the 13th and 14th of September, year 1515."
Ang mga Inca ay mga taong relihiyoso.,0,,The Incas were a religious people.
Ang mga libro ay para sa mga taong gustong mapunta sa ibang lugar.,0,,Books are for people who want to be somewhere else.
Ang mga petroglipo sa La Lindosa sa Amasona ng Colombia ay ginawa noong panahon ng mga 12 600 taong nakalipas hanggang mga 1478 AD hanggang 1642 AD. Ang mga hugis ay halaman at hayop noong panahon.,1,,"The petroglyphs at La Lindosa in the Colombian Amazon were made during a period of about 12,600 years ago to about 1478 AD to 1642 AD. The shapes are plants and animals of the time."
"Ang mga taong nagmamahal ay walang pinagdududahan, o pinagdududahan ang lahat.",0,,"People who love doubt nothing, or doubt everything."
Ang mga taong naninirahan sa kanya sa Londres ay bibisita sa akin.,0,,The people who live with him in London will visit me.
"Ang mga taong umiibig ay walang pinagdududahan, o pinagdududahan ang lahat.",0,,"People in love doubt nothing, or doubt everything."
Ang nag-iisang karot sa kusina ay naging ilong ng taong niyebe na aming ginawa.,0,,The only carrot in the kitchen became the nose of the snowman we made.
Ang paaralan ay itinatag noong taong 1650.,1,,The school was founded in the year 1650.
Ang Palenquero ay Kastilang kreyol sa San Basilio de Palenque at Barranquilla sa Colombia. Bumuo itong wika mula sa mga taong Amerindiyo at mas karamihang kanluraning Aprikano.,0,,Palenquero is a Spanish creole in San Basilio de Palenque and Barranquilla in Colombia. This language developed from the Amerindian people and mostly west Africans.
Ang Panahong Heian ang pinakahuling bahagi ng klasikong Kasaysayan ng Hapon noong taong 794 haggang 1185.,1,,The Heian Period is the last part of classic Japanese History from 794 to 1185.
"Ang porn ay rated X; ibig sabihin, ang mga maaari lang manood nito ay mga taong edad 18 pataas.",0,,"Porn is rated X; that is, the only people who can watch it are people aged 18 and over."
Ang puno ng mansanas ay may kaunting prutas sa taong ito.,1,,The apple tree has little fruit this year.
Ang taong aking hinihintay ay hindi sumipot.,0,,The person I was waiting for did not show up.
Ang taong iyon ay may nunal sa gilid ng kanyang mata.,0,,That person had a mole in the corner of his eye.
Ang taong sinasalin ang mga salita ay gumagawa ng walang gramatikang mali sa dayuhang wika.,0,,The person translating the words makes no grammatical mistakes in the foreign language.
Ano ang ginawa mo sa mga taong ito?,0,,What did you do with these people?
