Sentence,"puno - [0: 'punò', 1: 'punô']"
"Ako ang pinakamagandang puno sa hardin, ibinulalas ng puno ng milokoton, ""o kahit sa buong mundo!""",0
Ako ang punong inhenyero.,0
Alam mo ba na ang spaghetti ay tumutubo sa puno ng spaghetti?,0
Ang abukado'y bunga ng punong abukado.,0
Ang bayong ay punung-puno nang mais.,1
Ang buslo ay puno ng mansanas.,1
Ang daigdig ay puno ng mga tanga.,1
Ang dali pong gumawa ng panggatong mula sa bumagsak na puno ng robles.,0
Ang daling gumawa ng panggatong mula sa bumagsak na puno ng robles.,0
Ang dami pong mga regalo sa ilalim ng punong pamasko.,0
Ang daming mga regalo sa ilalim ng punong pamasko.,0
Ang kagubatan ay puno ng mga puno.,0
Ang kalibuhang kagandahan ng tag-initang kabundukang damuhang kasama ang kanyang walang bilang na di-halatang kulay-kulayan ay pinupuno ang puso ko ng belyudong damdaming kaligayahan.,1
Ang langit ay puno ng maiitim na ulap.,1
Ang lawa ay puno ng maliliit na isda.,1
Ang maleta niya'y puno ng tubig.,1
Ang Marte ay puno ng mga desyerto o ilang.,1
Ang mesa ay puno ng alikabok.,1
Ang puno ng mansanas ay may kaunting prutas sa taong ito.,0
Ang puno ng peras ay nasa bukid ko noon pang 1923.,0
Ang puso niya'y puno nang kaligayahan.,1
"Ang sinumang gustong umakyat ng puno, nagsisimula sa ibaba, hindi sa itaas.",0
Ang taas-taas ng punong ito.,0
Ang tangkad-tangkad ng punong ito.,0
Ang Tatoeba ay isang kahong punong-puno ng mga magagandang karanasan at sorpresa!,1
Ang tren ay puno ng tao.,1
Ang unggoy ay umaakyat sa isang mataas na puno.,0
Bakit ang buhay ay puno ng pasakit?,1
Berde ang mga puno.,0
Binilhan ni Tom ng punong pampasko ang pamilya ni Mary.,0
Binisita ni Mike ang punong-guro naming si Ginoong Ogaki.,0
Bumabagsak ang dahon at puno.,0
Bumaluktot ang puno sa bigat ng bunga.,0
Bumaluktot ang puno sa bigat ng prutas.,0
Bumili ako ng punong pampasko.,0
Bumili si Tom ng punong pampasko para sa pamilya ni Mary.,0
Bundat na namumulaklak ang mga punong albarikoke.,0
Di hanggang langit na lumalaki ang mga puno.,0
Dilaw ang mga dahon ng mga puno roon.,0
Eto ang bahay kung saan nakatira ang punong ministro.,0
Gaano pa katagal bago mapuno ang tub?,0
Ginagawa ng mga ibon ang kanilang pugad sa mga puno.,0
Gumagawa ang mga ibon ng kanilang pugad sa mga puno.,0
Halos puno ang kahong iyan.,1
Hindi gusto ni Tom ang mga dalagang puno ng meyk-ap.,1
Hindi ka dapat nagsasalita na puno ang iyong bibig.,1
Hindi kayang mag-unat ng paa ng mga puno.,0
Hindi ko alam na galing pala sa binhi ang puno ng mansanas.,0
Hindi mapupuno ang bulsang butas.,1
Hindi mapupuno ang bulsang may butas.,1
"Hindi nagbubunga ng pera ang puno, alam mo.",0
"Hindi namumunga ng pera ang mga puno, nga.",0
Hindi namumunga ng pera ang mga puno.,0
Hindi pinipitas ang pera mula sa puno.,0
Hindi tumutubo ang pera sa puno.,0
Hugis puno ang keyk.,0
Huwag kang aatras. May puno sa likuran mo.,0
Huwag magsalita kapag puno ang bibig mo.,1
Huwag magsalita nang puno ang bibig.,1
Iba-ibang klaseng mga supling ang ipinagsama sa puno ng tseri.,0
Iginapos ko ang sarili ko sa isa sa mga punong balak nilang putulin.,0
Iginapos ni Tom ang sarili niya sa isang puno.,0
"Ika-14 ng Hulyo ng 2017 ngayon. Sa ibang mga daigdig sa sansinukob, puno talaga nang yelu-yelo. May tubig. Baka may mababang buhay. Baka walang malalaking hayop. Maliliit lamang.",1
Ikinadena ko ang bisikleta ko sa isang puno.,0
Ikinadena ko ang sarili ko sa isa sa mga punong balak nilang putulin.,0
Ikinadena ni Tom ang bisikleta niya sa puno.,0
Ikinadena ni Tom ang sarili niya sa isang puno.,0
Ililipat si Tom sa punong tanggapan sa Boston.,0
Inilipat siya sa punong tanggapan sa Tokyo.,0
Inukit ng magkarelasyon ang inisyal ng kanilang mga pangalan sa puno ng robles.,0
Inukit ng magkasintahan ang inisyal ng kanilang mga pangalan sa puno ng robles.,0
Isang Noldo ba ang nasa ilalim ng puno?,0
Isisingit ko ito sa puno kong iskedyul.,1
Isisingit ko iyan sa puno kong iskedyul.,1
Isisingit ko iyon sa puno kong iskedyul.,1
Itim ang mga dahon ng mga puno roon.,0
Kailan ka nagtatayo ng punong pamasko?,0
Kailangan mong manuntok ng mga puno para makakuha ng kahoy.,0
Kailangan ninyong manuntok ng mga puno para makakuha ng kahoy.,0
"Kapag mas mataas ang puno, mas mahirap itong akyatin.",0
Kaya mo bang pangalanan ang lahat ng mga puno sa hardin?,0
Kayang umakyat ng puno ng mga oso.,0
Kayumanggi ang mga dahon ng mga puno roon.,0
Kinidlatan ang malaking puno sa bukid.,0
Kitang-kita ang pag-uga ng mga puno.,0
Kulay-lila ang mga dahon ng mga puno roon.,0
Kulay-pilak ang mga dahon ng mga puno roon.,0
Kumakanta ang mga ibon sa mga puno.,0
Lumagitik muli ang eskritoryong puno ng gamit.,1
Mabilis na umakyat ng puno ang unggoy.,0
Madali pong gumawa ng panggatong mula sa bumagsak na puno ng robles.,0
Madali pong masunog ang mga punong ito.,0
Madaling gumawa ng panggatong mula sa bumagsak na puno ng robles.,0
Madaling masunog ang mga punong ito.,0
Magpapalaki ako ng maraming puno rito.,0
Makikita ni Silvestre ang puno sa parke.,0
Malapit nang mapuno.,1
Malinaw na kahoy ito ng puno ng seresa.,0
Marami pong mga regalo sa ilalim ng punong pamasko.,0
Maraming mga garapang puno ng olibo si Roberto.,0
Maraming mga puno sa parke.,0
Maraming mga regalo sa ilalim ng punong pamasko.,0
Maraming mga sanga ang punong ito.,0
Maraming puno ang bumagsak dahil sa bagyo.,0
Maraming puno ang natumba dahil sa bagyo.,0
Maraming puno ang pinabagsak ng bagyo.,0
Maraming puno ng almendras sa paligid ng bahay ni Jerry.,0
Maraming puno ng duhat sa paligid ng bahay ni Jerry.,0
Maraming puno ng igos sa paligid ng bahay ni Jerry.,0
Maraming puno ng kamatsile sa paligid ng bahay ni Jerry.,0
Maraming puno ng kasuy sa paligid ng bahay ni Jerry.,0
Maraming puno ng limon sa paligid ng bahay ni Jerry.,0
Maraming puno ng mangga sa paligid ng bahay ni Jerry.,0
Maraming puno ng mansanas sa paligid ng bahay ni Jerry.,0
Maraming puno ng narangha sa paligid ng bahay ni Jerry.,0
Maraming puno ng peras sa paligid ng bahay ni Jerry.,0
Maraming puno ng saging sa paligid ng bahay ni Jerry.,0
Maraming puno ng sampalok sa paligid ng bahay ni Jerry.,0
Maraming puno ng sinigwelas sa paligid ng bahay ni Jerry.,0
Maraming puno sa parke roon.,0
Marasap ang litsong baboy ngunit masyado itong mamanteka at punong puno ng kolesterol.,1
May buslong puno ng kamatsili si Eileen.,1
May halamang-singaw sa puno.,0
May malaki pong puno ng melokoton si Tom sa kanyang bakuran.,0
May malaking puno ng melokoton si Tom sa kanyang bakuran.,0
May maliit na puno ng melokoton si Tom sa kanyang bakuran.,0
May maliit pong puno ng melokoton si Tom sa kanyang bakuran.,0
May maraming mga puno ng almendras sa bukid ni Jerry.,0
May maraming mga puno ng aprikot sa bukid ni Jerry.,0
May maraming mga puno ng dalandan sa bukid ni Jerry.,0
May maraming mga puno ng duhat sa bukid ni Jerry.,0
May maraming mga puno ng igos sa bukid ni Jerry.,0
May maraming mga puno ng kakaw sa bukid ni Jerry.,0
May maraming mga puno ng kaki sa bukid ni Jerry.,0
May maraming mga puno ng kasuy sa bukid ni Jerry.,0
May maraming mga puno ng limon sa bukid ni Jerry.,0
May maraming mga puno ng mansanas sa bukid ni Jerry.,0
May maraming mga puno ng peras sa bukid ni Jerry.,0
May maraming mga puno ng santol sa bukid ni Jerry.,0
May maraming mga puno ng sinigwelas sa bukid ni Jerry.,0
May maraming mga puno ng tseri sa bukid ni Jerry.,0
May mga matsing na lumalangoy sa ilog na may mga puno ng dalandan sa tabi nito.,0
May mga matsing na lumalangoy sa ilog na may mga puno ng kalamansi sa tabi nito.,0
May mga puno ng almendras sa labas ng bahay ni Jerry.,0
May mga puno ng balimbing sa parke ng bayan.,0
May mga puno ng bayabas sa labas ng bahay ni Jerry.,0
May mga puno ng dalandan sa hardin ni Juan.,0
May mga puno ng dalandan sa parke ng bayan.,0
May mga puno ng duhat sa hardin ni Juan.,0
May mga puno ng duhat sa labas ng bahay ni Jerry.,0
May mga puno ng gratiles sa hardin ng kastilyo.,0
May mga puno ng gratiles sa korte ng kastilyo.,0
May mga puno ng gratiles sa paligid ng puwente ng tubig ng kastilyo.,0
May mga puno ng gratiles sa tabi ng bakuran ng kastilyo.,0
May mga puno ng gratiles sa tabi ng batis ng kastilyo.,0
May mga puno ng gratiles sa tabi ng mga bintana ng kastilyo.,0
May mga puno ng gratiles sa tabi ng tarangkahan ng kastilyo.,0
May mga puno ng gratiles sa tabi ng tulay ng kastilyo.,0
May mga puno ng kamatsili sa burol ng kastilyo.,0
May mga puno ng kamatsili sa likod ng kastilyo.,0
May mga puno ng kamatsili sa pagitan ng mga estatwa ng kastilyo.,0
May mga puno ng kamatsili sa palibot ng bahay ni Erik.,0
May mga puno ng kamatsili sa tabi ng bukal ng kastilyo.,0
May mga puno ng kamatsili sa tabi ng kastilyo.,0
May mga puno ng kamatsili sa tabi ng mga bintana ng kastilyo.,0
May mga puno ng kamatsili sa tapat ng bakuran ng kastilyo.,0
May mga puno ng kasuy sa labas ng bahay ni Jerry.,0
May mga puno ng langka sa hardin ni Juan.,0
May mga puno ng lansones sa parke ng bayan.,0
May mga puno ng makopa sa hardin ni Juan.,0
May mga puno ng mangga sa hardin ni Juan.,0
May mga puno ng mangga sa labas ng bahay ni Jerry.,0
May mga puno ng mangga sa parke ng bayan.,0
May mga puno ng mansanas sa hardin ni Juan.,0
May mga puno ng mansanas sa labas ng bahay ni Jerry.,0
May mga puno ng mansanas sa parke ng bayan.,0
May mga puno ng niyog sa labas ng bahay ni Jerry.,0
May mga puno ng niyog sa parke ng bayan.,0
May mga puno ng peras sa hardin ni Juan.,0
May mga puno ng peras sa labas ng bahay ni Jerry.,0
May mga puno ng peras sa parke ng bayan.,0
May mga puno ng saging sa hardin ni Juan.,0
May mga puno ng saging sa labas ng bahay ni Jerry.,0
May mga puno ng sampalok sa parke ng bayan.,0
May mga puno ng santol sa parke ng bayan.,0
May mga puno ng sereso sa parke ng bayan.,0
May mga puno ng sinigwelas sa burol ng kastilyo.,0
May mga puno ng sinigwelas sa likod ng kastilyo.,0
May mga puno ng sinigwelas sa pagitan ng mga estatwa ng kastilyo.,0
May mga puno ng sinigwelas sa parke ng bayan.,0
May mga puno ng sinigwelas sa tabi ng bakuran ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng batis ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng bukal ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng burol ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng estatwa ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng kastilyo.,0
May mga puno ng sinigwelas sa tabi ng mga bintana ng kastilyo.,0
May mga puno ng sirwelas sa parke ng bayan.,0
May mga unggoy na lumalangoy sa ilog na may mga puno ng mangga sa tabi nito.,0
May mga unggoy na lumalangoy sa ilog na may mga puno ng niyog sa tabi.,0
May mga unggoy na lumalangoy sa ilog na may mga puno ng saging sa tabi.,0
May mga unggoy sa gubat na may maraming puno ng bayabas.,0
May mga unggoy sa gubat na may maraming puno ng dalandan.,0
May mga unggoy sa gubat na may maraming puno ng duhat.,0
May mga unggoy sa gubat na may maraming puno ng kamatsile.,0
May mga unggoy sa gubat na may maraming puno ng mangga.,0
May mga unggoy sa gubat na may maraming puno ng saging.,0
May mga unggoy sa gubat na may maraming puno ng sinigwelas.,0
May mga unggoy sa tabi ng mga puno ng bayabas sa gubat.,0
May mga unggoy sa tabi ng mga puno ng niyog sa gubat.,0
May mga unggoy sa tabi ng mga puno ng saging sa gubat.,0
May nakaharang sa daan na isang bumagsak na puno.,0
May nakikita akong matandang babae sa ilalim ng puno.,0
May napabagsak ka na bang puno?,0
May napatumba ka na bang puno?,0
May parkeng puno ng bulaklak sa tabi ng paaralan.,1
May puno ng kamatsile sa hardin ni Karl.,0
May puno ng melokoton si Tom sa kanyang bakuran.,0
May puno sa bakuran ko.,0
May punong sinigwelas si Jayjay.,0
May tatlong puno ng mansanas si Tom sa hardin.,0
Mayroon kaming tatlong puno sa bakuran namin.,0
Mayroon pong puno ng melokoton si Tom sa kanyang bakuran.,0
Mayroon tayong tatlong puno sa bakuran natin.,0
Mayroong niyebe at mga puno sa hardin ng Moomin.,0
Mayroong puno ng melokoton si Tom sa kanyang bakuran.,0
Medyong magpahinga tayo sa ilalim ng puno.,0
Meron siyang buslong puno ng istroberi.,0
Mga punong santol ang nasa palibot ng bahay ni Warren.,0
Naalala kong ang Venecia ay parang laberintong puno ng mga antigong eskinita at kanal.,1
"Nabangga ni Oliver sa isang puno ang kotse nina Tom at Mary, dahil ginugulo siya ng kanyang mga kaibigan.",0
"Nabangga ni Oliver sa isang puno ang kotse nina Tom at Mary, dahil inaabala siya ng kanyang mga kaibigan.",0
"Nabangga ni Oliver sa isang puno ang sasakyan nina Tom at Mary, dahil ginugulo siya ng kanyang mga kaibigan.",0
"Nabangga ni Oliver sa isang puno ang sasakyan nina Tom at Mary, dahil inaabala siya ng kanyang mga kaibigan.",0
Nagbibigay ng lilim ang mga puno.,0
Nagbibigay ng lilim ang puno.,0
Nagpapahinga ang mga baka sa ilalim ng puno.,0
Nagpapahinga si Tom sa ilalim ng puno.,0
Nagpuputol kami ng mga puno sa pamamagitan ng isang palakol.,0
Nagpuputol tayo ng mga puno sa pamamagitan ng isang palakol.,0
Nagputol ako ng puno.,0
Nagtago ako sa likuran ng puno.,0
Nagtago siya sa likuran ng puno.,0
Nagtako si Tomas sa likuran ng puno.,0
Nagtanim ako ng puno ng melokoton sa hardin ko.,0
Nagtanim ako ng puno.,0
Nagtanim si Tom ng tatlong puno ng mansanas at isang puno ng melokoton sa kanyang bakuran.,0
Nagtatago ang bata sa likuran ng isang malaking puno.,0
Nahulog ang mansanas galing sa puno.,0
Nahulog ang sanga ng puno.,0
Nahulog ang unggoy mula sa puno.,0
Nakahanay ang mga puno.,0
Nakaharang sa daan ang isang bumagsak na puno.,0
Nakahilera ang mga puno.,0
Nakakain ang bulaklak ng puno ng presas.,0
Nakapagpabagsak ka na ba ng puno?,0
Nakapagpatumba ka na ba ng puno?,0
Nakapagputol ka na ba ng puno gamit ang isang palakol?,0
Nakapagputol ka na ba ng puno sa pamamagitan ng isang palakol?,0
Nakapagtanim ako ng puno.,0
Nakita ni Silvestre ang mga puno sa parke.,0
Namumulaklak ang mga punong mansanas.,0
Namumulaklak ng maigi ang mga punong tseri.,0
"Nang tinitingnan nila ang gubat, di nila nakikita ang mga puno.",0
Nangangailangan ng malinis at preskong hangin at tubig ang mga bulaklak at puno.,0
Naniningil sila para sa isang plastik na supot pero punong-puno naman ang supermarket ng mga plastik na bagay.,0
Napaka-tangkad ng punong ito.,0
Napakataas ng punong ito.,0
Narangha ang mga dahon ng mga puno roon.,0
Nasa ilalim ng puno ang puting pusa.,0
Nasa itaas ng puno ang kulay-rosas na iskuwirel.,0
Nasira ang tiyan ni Celia pagkatapos niyang kumain ng dalandang galing sa puno.,0
Natalisod ako sa ugat ng isang puno.,0
"Natatakot silang nasa labas ng bahay, dahil kapag nakikita nila ang kalikasan—ang mga puno, ang langit, ang ulap, at iba pa—nararamdaman nila ang ""tunay"" na diyos.",0
Natumba nang mag-isa ang puno.,0
Nauntog siya sa sanga ng puno.,0
Nawala na sa likod ng bahay ang puno ng tseri na ipinagsamang iba-ibang lahi.,0
"Pagka namumulaklak, maganda ang puno ng milokoton.",0
Pagmasdan ang pag-uga ng mga puno.,0
Pakipuno .,1
Pakipuno naman ito.,1
Palaging puno ang restawran.,1
