Sentence,"silang - [1: 'sílang', 0: 'siláng']"
Agad ko silang sinubukang pakalmahin.,0
Ang bundok ay nagsilang ng isang daga.,1
Ang itlog ay ang pandaigdigang simbolo ng buhay at muling pagkasilang.,1
Ang sabi nila handa na raw silang umalis.,0
"Ang sabi nila, magaling daw silang lumangoy.",0
Araw at gabi silang pinagtrabaho ng amo.,0
Ayaw ko silang pag-usapan.,0
Ayaw ko silang samantalahin.,0
Ayaw mo ba silang makita?,0
"Bagama't may pag-aalala tungkol sa paglaki ng mga bata, walang kasiguraduhan kung dapat ba silang bigyan ng higit pang kalayaan.",0
Bayaw ko silang lahat.,0
Bulag siya mula pagkasilang.,1
Dahan-dahan silang umabante.,0
Dali-dali silang lumabas.,0
Dapat namin silang bigyan ng tulong.,0
Dapat namin silang sundan.,0
Dapat natin silang bigyan ng tulong.,0
Dapat natin silang sundan.,0
Dapat silang alisin.,0
Dapat silang magpasalamat kay Tom.,0
Dapat silang tanggalin.,0
Dati silang nagtitinda ng itlog.,0
Gamitin mo silang lahat.,0
Gusto ko silang makita.,0
Gusto mo silang mag-ingles para maging parang Amerikano sila. Magaling ba iyon?,0
Gusto silang pareho ni Tom.,0
Hayaan mo silang sumakay.,0
Hayaan ninyo silang sumakay.,0
"Hinala ko , wala na silang lahat.",0
"Hinala ko, wala na silang lahat.",0
"Hindi ako makapaniwala na natulog silang magkasama! ""Bakit hindi? Walang kakaiba na isama mo ang teddy bear sa kama.""",0
Hindi dapat natin silang pabayaan.,0
Hindi nasarapan si Mary nang una silang magtalik ni Tom.,0
Hindi nasiyahan si Mary kahit buong gabi silang nagkantutan ni Tom.,0
Hindi pa ako nakakakita ng isinisilang na bulo.,1
Hiniling ng ama nila na pumunta silang lahat sa bahay bukas.,0
Huwag mo silang alalahanin.,0
Huwag mo silang pakikinggan.,0
Huwag mo silang pakinggan.,0
Huwag mo silang pansinin.,0
Huwag mo silang saktan.,0
Huwag mo silang sasaktan.,0
Huwag natin silang padaanin sa geyt.,0
Huwag ninyo silang iwanan nang mag-isa.,0
Huwag ninyo silang iwanan nang walang kasama.,0
Huwag ninyo silang pakikinggan.,0
Huwag ninyo silang pakinggan.,0
Huwag ninyo silang pansinin.,0
Huwag ninyo silang saktan.,0
Huwag ninyo silang sasaktan.,0
Iginigiit nilang may nahanap silang tubig sa buwan. Naniniwala ka ba?,0
Ilang beses sa isang linggo silang kumukulekta ng basura sa lungsod na ito?,0
Kabuhayan silang gumagawa.,0
Kabuhayan silang lumilikha.,0
Kailangan ko silang bawiin.,0
Kailangan ko silang mabawi.,0
Kailangan mo lang silang pagsamahin.,0
Kailangan mo silang lutuin nang hiwalay.,0
"Kapag malaman ng aking mga magulang na pumarito ka, maaari silang gumawa ng bagay na hindi kanais-nais.",0
Kapwa silang naghahangaan.,0
Kaya mo ba silang ilarawan?,0
Kilala ko silang lahat.,0
Kukunin ko silang pareho.,0
Kumikinang silang parang mga bituin sa loob ng marumi at madilim na gusali.,0
Kumikislap silang parang mga bituin sa loob ng marumi at madilim na gusali.,0
Kung nag-iingles sila'y para silang umiiyak.,0
Labing-isa silang magkakapatid.,0
Lagi silang nag-aaway.,0
"Limang taon na silang kasal, pero wala silang balak na magkaanak.",0
Maaari mo ba silang ilarawan?,0
Maaari na silang pumasok ngayon.,0
Maaari na silang umalis.,0
Maaari silang maghintay dito.,0
Maaga silang uuwi mula sa eskuwelahan.,0
Maayos silang tingnan.,0
Mabilis silang kumain.,0
Madalas silang mag-away dahil sa kanilang paniniwalang pampolitika.,0
Madalas silang magbulakbol.,0
"Madalas silang nag-uusap, harap-harapan at sa pamamagitan ng telepono.",0
"Magaling silang mangmamanyika, pero halatang-halata naman.",0
"Magaling silang mangmamanyika. ""Oo, nga. Magaganda ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, nga. Makulay-kulay ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, nga. Marikit ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, nga. Nakakatuwa ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, nga. Nakakatuwa at magaganda ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, talaga. Nakakatuwa ang mga manyika.""",0
"Magaling silang mangmamanyika. ""Oo, talaga. Nakakatuwa at magaganda ang mga manyika.""",0
Maganda silang tingnan.,0
Magdamag silang nagsayawan.,0
Magkahiwalay silang tumira.,0
Magkasama silang bumalik mula sa sinehan.,0
Magkasama silang nagbakasyon.,0
Magkasama silang nagtrabaho sa proyektong ito.,0
Magsisimula silang mamigay ng mga heringgilya at karayom nang libre sa mga adik.,0
Magsisimula silang mamigay ng mga heringgilya at karayom nang libre sa mga drugista.,0
Magsisimula silang mamigay ng mga heringgilya at karayom nang libre sa mga lulong sa droga.,0
Mahilig silang kumain ng kilawin.,0
Malabo silang magpakasal.,0
Malakas ba silang manigarilyo?,0
Marami silang pinagdaanang hirap.,0
Marunong silang magsalita ng Espanyol.,0
Mas para silang Budistang monghang hindi interesadong mag-asawa.,0
Mas para silang Budistang mongheng hindi interesadong mag-asawa.,0
Masarap silang magluto.,0
Masyado silang malaki.,0
Masyado silang nag-aalala.,0
Masyadong malakas magsalita ang mga kabataang ito kapag nag-uusap sila at wala silang pakialam sa mga nasa paligid nila.,0
Matagal na silang nawalan ng relihiyon.,0
May apat silang klase sa umaga.,0
May balak silang patayin ang hari.,0
May inampon silang batang babae.,0
May iniimbestigahan silang krimen.,0
May kinupkop silang batang babae.,0
May mga ninakaw silang kabayo at baka.,0
May nahukay silang kahong naglalaman ng mga labi ng tao.,0
May nakikita silang bahay.,0
May nakita raw silang aswang!,0
May nakita raw silang mga aswang!,0
