Sentence,"bukas - [0: 'búkas', 1:'bukás']",,
Aalis akong papuntang Estados Unidos bukas.,0,,I'll leave the United States tomorrow.
Aalis kami bukas.,0,,We will leave tomorrow.
Aalis si Tom ng Kobe bukas ng umaga.,0,,Tom will leave Kobe tomorrow morning.
Aalis tayo bukas nang umaga.,0,,We will leave tomorrow morning.
Aalis tayo bukas.,0,,We will leave tomorrow.
Abala ako bukas.,0,,I'm busy tomorrow.
Ako ay magtatrabaho buong araw bukas.,0,,I will work all day tomorrow.
Alam ba ninyo kung anong oras nagbubukas ang tanggapan ng koreo?,1,,Do you know what time the post office opens?
Alam ko na kaya kong gawin iyan bukas.,0,,I know I can do that tomorrow.
Alam mo ba kung anong oras nagbubukas ang tanggapan ng koreo?,1,,Do you know what time the post office opens?
Ang araw bukas makalawa ay Linggo.,0,,The day tomorrow is Sunday.
"Ang babae ang Yin ng Yin-Yang. Sila pa ang mas destruktibo, at sila pa ang nanganganak. At hindi nila iniisip ang kinabukasan! Mas konstruktibo ang lalaki, ang Yang. Mas iniisip ng lalaki ang kinabukasan.",0,,"The woman is the yin of Yin-Yang. They are more destructive, and they are still giving birth. And they don't think about the future! The man is more constructive, the yang. The man thinks more the future."
Ang bukas ay hindi na darating.,0,,Tomorrow will never come.
Ang kabataan ay ang pag-asa ng kinabukasan.,0,,Youth is the hope of the future.
Ang kinabukasan ay depende sa atin at sa ating henerasyon.,0,,The future depends on us and our generation.
"Ang Korea ay isang pagbubukas ng mata para sa akin. Nandoon ako para magrinyu ng pangtrabahong bisa ko para sa Hapon. Noong aking tigil, hindi ko pa kabisado ang Koreanong pagsusulat. Ipinagmamalaki ng mga eskinita at mga gusali ang mga makukulay na senyas sa matibay na pagkakasulat. Bumili ako ng iba't ibang kakaibang maskara para palamutihan ang aking mga dingding sa bahay. Kumain ako ng maanghang na pulang-naranghang pagkain. Makalipas ang ilang taon, mabibigkas ko na ang mga salitang Koreanong ang kahulugan ay isang pagtingin lang sa diksiyonaryo.",1,,"Korea is an eye opening for me. I was there to give my work for the afternoon. When I stopped, I didn't even know Korean writing. Eschy and buildings boast colorful signals in strong writing. I bought a variety of unique masks to decorate my walls at home. I ate spicy red-shaped food. A few years later, I could say that Korean words meaning is just a view of the dictionary."
Ang manunulat ng siyensiyang piksiyong librong Starship & Haiku ay ang Taylandes na si Somtow Sucharitkul. Nabasa ko na itong tungkol sa kinabukasang mundong nawasak nang gera at polusyon. May binanggit na balyena at sasakyang pangkalawakan.,0,,The writer of the scientific science of the Starship & Haiku book is the Thailance Sometow Sucharitkul. I have read it about the future world that has been destroyed by war and pollution. There is a whale and space of space.
Ang No. 6 ay animeng Hapong pinanood ko na. Tungkol ito sa panahong postapokaliptikong may mga ilang siyudad-estadong ultraabansadong nakakalat sa kinabukasang mundo. Sila ang ilan sa mga desendiyente ng mga nakaligtas sa malaking gera nang ilang siglo na ang nakalipas.,0,,The No. 6 is an old afternoon I've watched. This is about the postapophalist period with some Ultrasian city-states scattered in the future world. They were some of the dedications of those who survived the big war a few centuries ago.
Ang pulong ay magaganap bukas.,0,,The meeting will take place tomorrow.
Ang realidad ay mukhang iba sa kinabukasan na hinintay natin.,0,,The reality looks different from the future we are waiting for.
"Ang sabi ni Tom, hindi raw niya pinaplanong pumunta bukas.",0,,Tom says he doesn't plan to go tomorrow.
"Ang sabi ni Tom, wala raw siyang planong pumunta bukas.",0,,Tom says he has no plans to go tomorrow.
"Ang sabi sa radyo, magiging malamig daw bukas.",0,,The radio says it will be cold tomorrow.
Ang silid ay pipintahan bukas.,0,,The room will be painted tomorrow.
Ang wikang Fremen ay wika ng katauhang Fremen sa disyertong planetang Arrakis sa siyensiyang piksiyong prangkisang Dune ni Frank Herbert. Hinango ang wikang guniguning Fremen sa wikang antigong Arabe ng Tiyera. Ang eksena'y libu-libong taon sa kinabukasan.,0,,The Fremen language is the language of the Fremen personality on the Decisor Planet Arrakis in Frank Herbert's frankly -packed franchise dune. The Fremen language language is derived from the Arabic Arabic language. The scene is thousands of years in the future.
"Ano'ng araw bukas? ""Miyerkules."" ""Ang ibig kong sabihin, ano'ng petsa?"" ""Ikalabing-anim.""",0,,"What day is it tomorrow? ""Wednesday."" ""I mean, what's the date?"" ""Sixteenth."""
Anong gusto niyong gawin bukas?,0,,What do you want to do tomorrow?
Anong mga plano ang mayroon ka bukas nang gabi?,0,,What plans do you have tomorrow night?
Anong oras nagbubukas ang mga bangko?,1,,What time do banks open?
Anong oras nagbubukas?,1,,What time does it open?
Ayaw ni Tom magtrabaho bukas.,0,,Tom doesn't want to work tomorrow.
"Ayon sa balita, babagyo bukas.",0,,"According to the news, it will be open tomorrow."
"Ayon sa balita, babagyo raw bukas.",0,,"According to the news, it will be open tomorrow."
"Ayon sa mga diyaryo, uulan daw ng niyebe bukas.",0,,"According to the newspapers, it will rain tomorrow."
"Ayon sa radyo, uulan bukas.",0,,"According to the radio, it rains tomorrow."
"Ayon sa radyo, uulan daw bukas.",0,,"According to the radio, it rains tomorrow."
Babagyo bukas ayon sa balita.,0,,Storm tomorrow according to the news.
Babalik ako bukas kung kaya ko.,0,,I'll be back tomorrow if I can.
Babalik ba kayo bukas?,0,,Will you come back tomorrow?
Babalik ka ba bukas?,0,,Will you come back tomorrow?
