Sentence,"galing - [1:'galíng', 0:'gáling']"
May mensahe akong galing sa kanya para sa iyo.,0
Hindi ko alam na galing pala sa binhi ang puno ng mansanas.,0
Bakit ang galing mong mag-Pranses?,1
Ang galing sumulat ni Tom.,1
Kababalik ko lamang galing sa eskuwela.,0
Kay Tom galing ang regalong ito.,0
Sipi iyon na galing sa libro.,0
Sabi ko kay Yaroslav na nagtren ako patimog galing Cairo hanggang Aswan sa Ehipto.,0
Ang galing-galing mong tumugtog ng gitara.,1
May nakitang usok galing sa bintana.,0
Ang galing!,1
Sana kasing-galing ako ni Tom mag-gitara.,1
Ang galing mong magtimpi.,1
"Mga wikang katulad ng Pranses, Italyano, at Kastila'y galing sa Latin.",0
Bakit ang galing ninyong mag-Pranses?,1
Ang galing pong sumisid ni Tom.,1
Pag-usapan natin ang mga problema mo sa pag-ibig pauwi galing eskwela.,0
May lumabás na pusâ galing sa ilalim ng lamisita.,0
Ang galing-galing mong mag-gitara.,1
Siya'y isa sa mga pinakamagaling na dalubhasa na galing sa Hapon.,1
Si Matias ay galing Urugway. Urugwayano siya.,0
Ang galing-galing niya talaga sa telenobelang iyon.,1
Uminom ka ng tsang galing ibang bayan.,0
"Ang wikang Sranan ay ang kreyol sa Suriname sa Timog Amerika. Ang bokabularyo nitong wika ay galing sa Olandes at Ingles, at ilan mula sa Kastila, Portuges, at mga wikang Kanluraning Aprikano.",0
"Siya nga pala, saan ka galing?",0
Iniinom ko ang sopas deretsong galing sa mangkok. Ganoon ang Hapon.,0
"May gerlpren akong galing Hong Kong. Umiiyak siya. ""Bakit?"" ""Pera ang iniisip niya.""",0
Ang galing ni Getter Jaani!,1
Sino ka at saan ka galing?,0
Moradong saging na galing sa gubat ng kanyang planeta ang paborito ni Dodong.,0
"Di lamang parang insulto iyon, kundi ""prodyeksiyon"" ng babae galing sa kanyang sariling isip.",0
"Noong bumalik si Pedro galing Hapon, naging Budista siya.",0
Mayroon siyang kapitbahay na galing ng Japan.,0
"Gusto niya ang buhok, ngiti at mga mata niya? Hanep, ang galing niyang magsinungaling!",1
"Naglíliwalíw sa Sansinukob / ang halintigál na panuós, / ang buntót ay labás dínagipík. / Nagháhanáp siyá ng liboy dagítabbaláni / galing sa malayong talumpón.",0
Ang galing magsulat ni Tom.,1
Unang beses kong magsalin galing sa Italyano.,0
Espasol ang pasalubong ni Rikki galing sa probinsiya.,0
Uminom siyang deretso galing sa bote.,0
"Ang Esperantong salitang ""kaj"" na ""at"" sa Tagalog ay galing sa Griyego.",0
Hindi mo mapipiga ang dugo galing sa bato.,0
Si Brian ay Esperantistang Britanikong galing sa Isla Manx. Nagturo siya ng Aleman sa unibersidad.,0
Saan galing ang mga manananggal?,0
"Ang salitang ""planeta"" ay galing sa antigong Griyego para sa ""lumalaboy.""",0
Mayroon bang haykap na galing sa kalawakan?,0
Ang galing ng pagganap mo.,1
Ang galing-galing niya talaga sa telenobelang iyan.,1
Saan galing iyan?,0
Ang galing sumisid ni Tom.,1
Ang galing niya pong managalog kahit na hindi naman siya ipinanganak sa Pilipinas.,1
Ang galing ninyong magtimpi.,1
Sariwang bunga itong diretsong galing sa puno.,0
Kababalik ko lamang galing sa paaralan.,0
Ang galing talaga ninyo.,1
"Kung minsan, makikitang may mga itim na naglalakad o nakatindig sa Tokyo. Hindi halata kung galing sila sa Hilagang Amerika, Amerikang Latino, o Aprika.",0
Huwag kang umihi sa palanguyan galing sa trampolin.,0
Dumating si Tom galing Australia noong Lunes.,0
Di ko alam kung kailan siya bumalik galing sa Pransiya.,0
"Sa mga miting ng mga Esperantista, nakita ko ang mga Esperantistang galing Timog Korea at isang guwapong mestisong Hapones na ang pangalan ay Greg.",0
Panspermia ang teoriya na ang buhay ay galing sa bumagsak na bagay na galing sa kalawakan at galing sa kalawakan ang buhay.,0
Ang galing niyo talaga.,1
Nahulog ang mansanas galing sa puno.,0
Tinanggap niya ang sumang galing sa kanyang lola.,0
"Uy, saan ka galing?",0
Ang mga nagbiyabiyahe'y galing sa iba-ibang bansa.,0
Nasira ang tiyan ni Celia pagkatapos niyang kumain ng dalandang galing sa puno.,0
Ang galing niyang managalog kahit na hindi naman siya ipinanganak sa Pilipinas.,1
"Nang pagbalik niya galing sa trabaho, nasa bahay ang asawa niya at puwede silang kumain nang kasabay.",0
Bumalik siya galing Tsina.,0
Hindi ko pa nakikita ang animeng galing Alemanya. Mayroon ba?,0
"Kulay-rosas ang inuming bandung galing sa Singapura at Malaysia. ""Masarap ba?""",0
Ang galing ni Tom.,1
Yatsuhashi ang pasalubong ni Vincent galing sa Hapon.,0
Pasalubong ni Vincente ang espasol galing sa kanyang biyahe.,0
Ang galing niyang kumanta!,1
Nagtataka sila sa marikit na tanawin galing sa itaas ng burol.,0
Hindi ba ang galing?,1
Sina Piotr at Lech ay galing Poland.,0
Bakit ang galing 'nyong mag-Pranses?,1
Ang galing naman!,1
"Sabi ni Adil na noong panahon ng Sobyet, tinatago ng tao sa Kazakhstan ang musikang galing sa Kanluran.",0
Nagpaalam na ang mga bata sa mga matatandang galing sa ibang bayan.,0
Inimport ang kulturang Amerikano galing sa Europa.,0
Sa mga su ng Marte ay may mga hayop na galing sa Tiyera.,0
Sa tubig natutunaw ang oksihenong galing sa hangin.,0
Si Florencia'y galing sa Chile. Taga-Chile siya.,0
Ang galing-galing ni Tom.,1
