normalized,rank,frequency
ng,1,134390
sa,2,119897
na,3,90160
ang,4,78498
mga,5,71625
ay,6,60901
at,7,47080
ang,8,28478
isang,9,26475
ito,10,14761
noong,11,12440
ni,12,12011
si,13,10554
o,14,9940
bilang,15,9277
kanyang,16,9014
hindi,17,8712
may,18,8683
para,19,7813
siya,20,7446
sa,21,7426
mula,22,6814
nito,23,5872
kung,24,5265
upang,25,5025
noong,26,4218
niya,27,4190
kanilang,28,3984
rin,29,3901
ito,30,3633
si,31,3548
nang,32,3546
din,33,3523
unang,34,3301
dahil,35,3297
isa,36,3259
naging,37,3118
pa,38,3111
tao,39,2975
mas,40,2946
ibang,41,2941
hanggang,42,2897
lamang,43,2812
pang,44,2803
pamamagitan,45,2596
saan,46,2568
bahagi,47,2550
dalawang,48,2473
kay,49,2467
maaaring,50,2444
ilang,51,2428
ngunit,52,2404
taon,53,2394
iba,54,2274
nasa,55,2173
pilipinas,56,2154
of,57,2145
lahat,58,2115
panahon,59,2103
siya,60,2070
taong,61,2044
sila,62,1978
kasama,63,1954
lungsod,64,1936
maraming,65,1900
bansa,66,1878
walang,67,1862
itong,68,1851
loob,69,1811
naman,70,1800
buong,71,1735
pangunahin,72,1727
pangunahing,73,1724
siyang,74,1709
planetang,75,1677
kaniyang,76,1631
tulad,77,1546
araw,78,1533
dito,79,1516
lugar,80,1505
nila,81,1487
habang,82,1432
tinatawag,83,1421
pangalan,84,1411
bagong,85,1389
pagkatapos,86,1318
mundo,87,1316
ginagamit,88,1303
the,89,1299
maging,90,1294
bawat,91,1278
album,92,1273
anak,93,1253
pagitan,94,1242
uri,95,1205
buhay,96,1198
niyang,97,1189
tatlong,98,1176
kilala,99,1165
bago,100,1161
pelikula,101,1159
babae,102,1149
higit,103,1142
ilalim,104,1140
karaniwang,105,1134
isang,106,1129
dahil,107,1118
bayan,108,1102
parehong,109,1080
may,110,1056
ingles,111,1029
the,112,981
malaking,113,978
kabilang,114,961
hindi,115,947
iyon,116,925
san,117,916
kanya,118,893
ayon,119,892
dating,120,892
mayroong,121,889
tungkol,122,889
de,123,888
kapag,124,887
and,125,884
huling,126,875
karamihan,127,869
bagay,128,864
populasyon,129,848
siglo,130,842
muling,131,841
apat,132,838
pagiging,133,837
ngayon,134,819
ring,135,817
sina,136,815
laban,137,814
opisyal,138,813
laro,139,811
salitang,140,810
estados,141,807
oras,142,803
paggamit,143,801
ayon,144,797
unidos,145,796
mataas,146,795
katulad,147,784
pangkat,148,784
halos,149,777
wika,150,769
katawan,151,756
paraan,152,753
banda,153,751
wikang,154,750
kaya,155,747
matapos,156,744
ginawa,157,739
isa,158,738
pamahalaan,159,738
binubuo,160,723
grupo,161,717
matatagpuan,162,716
kasalukuyang,163,713
panahong,164,708
lalaki,165,703
bilang,166,700
pagkatapos,167,700
mayo,168,686
kahit,169,685
kasaysayan,170,682
marso,171,677
serye,172,677
gayunpaman,173,676
estado,174,675
kapatid,175,674
tubig,176,674
dapat,177,672
sarili,178,671
ipinanganak,179,670
enero,180,658
ding,181,652
batas,182,651
setyembre,183,649
orihinal,184,647
maliit,185,645
malapit,186,644
bata,187,642
disyembre,188,641
pamilya,189,641
gamit,190,639
simbahan,191,639
ama,192,637
kanta,193,636
artista,194,633
nagkaroon,195,633
inilabas,196,632
hapon,197,630
palabas,198,629
oktubre,199,628
ginamit,200,628
lalawigan,201,623
paaralan,202,623
mga,203,615
unibersidad,204,615
nang,205,614
buwan,206,606
new,207,603
nagsimula,208,602
hunyo,209,600
madalas,210,600
nobyembre,211,589
namatay,212,586
nitong,213,584
abril,214,582
sakit,215,581
pinakamalaking,216,576
hulyo,217,574
pelikulang,218,574
kung,219,572
miyembro,220,572
agosto,221,569
mayroon,222,561
anumang,223,554
milyong,224,554
bahay,225,553
itinatag,226,553
simula,227,548
mula,228,546
nina,229,543
pilipino,230,540
pebrero,231,537
ina,232,536
silang,233,536
manlalaro,234,533
muli,235,531
gawa,236,530
antas,237,528
salita,238,528
kanila,239,527
kasapi,240,526
kaysa,241,526
anyo,242,524
pangalang,243,523
rehiyon,244,523
sistema,245,522
pinuno,246,520
mayroon,247,519
itinuturing,248,519
gaya,249,517
ikalawang,250,514
wala,251,511
dekada,252,510
halimbawa,253,508
pagbabago,254,507
lupa,255,506
sariling,256,505
kulay,257,503
limang,258,499
lokal,259,490
gumawa,260,489
gusali,261,487
maaari,262,487
sanhi,263,485
gumagamit,264,484
paggawa,265,484
ngunit,266,483
pagkain,267,483
diyos,268,481
ilan,269,481
musika,270,481
maynila,271,480
papel,272,479
aklat,273,477
pati,274,476
naging,275,474
lang,276,471
edad,277,465
gawain,278,460
subalit,279,460
lalo,280,454
noon,281,454
rito,282,454
asawa,283,453
pangalawang,284,453
sining,285,453
di,286,451
kasalukuyan,287,449
katao,288,449
matapos,289,448
tunay,290,447
kapangyarihan,291,446
university,292,445
nagbibigay,293,443
nilang,294,443
tinawag,295,442
hayop,296,441
kaso,297,441
katangian,298,441
telebisyon,299,440
pook,300,439
dalawa,301,438
sumunod,302,437
labas,303,432
linya,304,431
gulang,305,428
huli,306,428
kamatayan,307,428
programa,308,428
batay,309,426
nagmula,310,425
kapag,311,424
marami,312,424
batang,313,419
kahulugan,314,418
anim,315,417
una,316,417
dahilan,317,414
partikular,318,414
halip,319,413
malawak,320,412
maraming,321,408
kabuuang,322,406
maria,323,405
york,324,405
pagkakaroon,325,404
habang,326,402
halaga,327,402
pambansang,328,402
sistemang,329,401
gamitin,330,399
europa,331,398
man,332,398
trabaho,333,393
babaeng,334,392
kadalasang,335,390
larangan,336,387
pagkakataon,337,386
kabilang,338,385
tsina,339,382
bansang,340,382
kilalang,341,382
kuwento,342,380
ganitong,343,375
sinaunang,344,373
alam,345,372
naglalaman,346,372
sinabi,347,372
para,348,369
bagaman,349,368
tumutukoy,350,367
digmaan,351,364
hesus,352,363
bersyon,353,363
tanging,354,363
video,355,362
lungsod,356,361
beses,357,361
mahalagang,358,361
itinayo,359,359
korea,360,358
sentro,361,356
kastila,362,355
bagaman,363,355
amerika,364,353
manunulat,365,352
nanalo,366,352
subalit,367,350
militar,368,350
patuloy,369,350
sukat,370,350
in,371,349
resulta,372,349
sapagkat,373,347
school,374,346
malakas,375,346
magiging,376,345
isinulat,377,343
nagpapakita,378,343
lumabas,379,341
nagbigay,380,341
amerikano,381,340
karakter,382,340
at,383,339
halimbawa,384,338
awit,385,337
magkaroon,386,335
romano,387,334
ilog,388,333
kabila,389,333
karera,390,330
unang,391,328
layunin,392,328
pangkalahatang,393,328
lupain,394,327
milyon,395,326
diyos,396,324
national,397,323
hari,398,323
pinakamataas,399,323
dumating,400,322
kasama,401,320
magulang,402,320
kalaunan,403,319
mabilis,404,319
world,405,318
timog,406,316
serbisyo,407,315
tuwing,408,315
linggo,409,314
city,410,313
dugo,411,313
indibidwal,412,313
nangangahulugang,413,313
kinabibilangan,414,312
for,415,311
ibabaw,416,311
tahanan,417,311
bato,418,310
lumitaw,419,310
kailangan,420,309
proseso,421,309
dagat,422,308
pamagat,423,308
tagumpay,424,307
mahigit,425,306
matagumpay,426,306
tauhan,427,306
produkto,428,305
labanan,429,304
mababang,430,304
matatagpuan,431,302
pambansang,432,302
daan,433,302
a,434,301
sinabi,435,301
john,436,300
maaaring,437,300
bumalik,438,300
kultura,439,300
nagiging,440,300
agham,441,298
daigdig,442,298
kababaihan,443,298
pagsusuri,444,298
tawag,445,298
kaibigan,446,297
mamamayan,447,297
patungo,448,297
espanya,449,296
mayroong,450,296
minsan,451,296
kamay,452,295
nagsimulang,453,295
bagyo,454,294
ikatlong,455,294
unibersidad,456,293
makikita,457,293
pangulo,458,292
posisyon,459,292
award,460,291
partido,461,291
juan,462,290
ilog,463,290
kompanya,464,290
season,465,290
karamihan,466,289
walang,467,289
lakas,468,289
nakilala,469,289
roma,470,288
ekonomiya,471,288
modernong,472,288
lipunan,473,287
umiiral,474,287
epekto,475,286
labis,476,286
problema,477,286
kahit,478,285
kilala,479,285
puno,480,279
tunog,481,279
nagsimula,482,277
doon,483,277
hangin,484,277
katutubong,485,277
bagong,486,276
hapones,487,274
bumubuo,488,274
pangyayari,489,274
tiyak,490,273
pagganap,491,272
punong,492,272
tinatawag,493,271
ano,494,271
nakuha,495,270
edukasyon,496,269
larawan,497,269
nasabing,498,269
ulo,499,269
philippine,500,268
gabi,501,268
hangganan,502,268
kaganapan,503,268
paksa,504,268
asya,505,267
industriya,506,267
pananaw,507,267
mo,508,266
tulong,509,266
ukol,510,266
yugto,511,266
bago,512,265
madaling,513,265
tungkulin,514,265
pangulo,515,264
samantalang,516,264
hilagang,517,263
gitna,518,263
maliban,519,263
sumali,520,263
i,521,262
kapwa,522,262
pamamaraan,523,262
ginagawa,524,261
itinatag,525,260
mahusay,526,260
gamot,527,259
bandang,528,258
binuo,529,258
istasyon,530,258
karaniwan,531,258
pero,532,258
anime,533,257
disenyo,534,257
titik,535,257
estasyon,536,256
karagdagang,537,256
susunod,538,256
koponan,539,255
sumusunod,540,255
kasunod,541,254
naganap,542,253
paligid,543,253
sabihin,544,253
balat,545,252
distrito,546,252
impormasyon,547,252
nakaraang,548,251
sikat,549,251
tagalog,550,250
pumasok,551,250
timog,552,250
kaya,553,249
tsino,554,249
maaari,555,248
a,556,248
ibinigay,557,248
lumipat,558,248
malalaking,559,248
natatanging,560,248
negosyo,561,248
pulo,562,248
tinatayang,563,248
international,564,247
relasyon,565,247
bukod,566,246
ganap,567,246
hinggil,568,246
kakayahan,569,246
maaring,570,246
paano,571,246
dulo,572,245
galing,573,245
maliliit,574,245
pinamagatang,575,245
kabisera,576,244
pitong,577,244
aleman,578,242
proyekto,579,242
ii,580,241
metro,581,241
nangyari,582,241
jose,583,240
itaas,584,240
likas,585,240
batas,586,239
nabuo,587,239
pinagmulan,588,239
kaugnayan,589,238
kristiyano,590,237
muslim,591,237
kabuuan,592,237
pamamahala,593,237
publiko,594,237
kilometro,595,236
malaki,596,236
nilikha,597,236
pananaliksik,598,236
sinasabing,599,236
griyego,600,235
tanyag,601,235
ginagamit,602,234
halaman,603,234
hanay,604,234
nakatanggap,605,233
japan,606,232
sila,607,232
guro,608,232
ko,609,231
haba,610,230
pagkakaiba,611,230
gayon,612,229
umalis,613,229
gobyerno,614,228
karagdagan,615,228
kumpanya,616,228
lumikha,617,228
alemanya,618,225
amerikanong,619,225
us,620,225
mismo,621,225
modelo,622,225
naninirahan,623,225
to,624,225
marcos,625,224
gumagawa,626,224
maikling,627,224
operasyon,628,224
pamumuno,629,224
termino,630,224
awards,631,223
pisikal,632,223
tren,633,223
damit,634,222
lalaking,635,222
sintomas,636,222
mahirap,637,221
paglalakbay,638,221
pamayanan,639,221
simbahan,640,220
kolehiyo,641,220
olimpiko,642,219
gawaing,643,219
taas,644,219
umabot,645,219
best,646,218
manila,647,218
sapat,648,218
nakita,649,217
ibig,650,216
klase,651,216
makabagong,652,216
numero,653,216
pranses,654,215
daanan,655,215
pampolitika,656,215
hudyo,657,214
katumbas,658,214
karaniwang,659,213
walong,660,213
kaalaman,661,212
maagang,662,212
nakakuha,663,212
single,664,212
american,665,211
pagdiriwang,666,211
pagtaas,667,211
panganib,668,211
tinutukoy,669,211
mata,670,210
pandaigdigang,671,210
pagkamatay,672,209
paglabas,673,209
hugis,674,208
kaugnay,675,208
namang,676,208
dito,677,207
tv,678,207
gumanap,679,207
kawalan,680,207
talaan,681,207
nagkaroon,682,206
uk,683,206
base,684,206
pinalitan,685,206
santa,686,205
gawin,687,205
ehipto,688,204
kabataan,689,204
kada,690,204
kapaligiran,691,204
nais,692,204
ibarra,693,203
college,694,202
kaniya,695,202
pampublikong,696,202
plano,697,202
presyo,698,202
digmaang,699,201
katoliko,700,201
music,701,201
dami,702,201
elemento,703,201
radyo,704,201
relihiyon,705,201
dr,706,200
emperador,707,200
direktor,708,200
nangyayari,709,200
natuklasan,710,200
papunta,711,200
pransiya,712,199
rizal,713,199
akda,714,199
paniniwala,715,199
latin,716,198
daang,717,198
republika,718,197
barko,719,197
mababa,720,197
mahabang,721,197
naunang,722,197
pinakawalan,723,197
sangay,724,197
karapatan,725,196
kopya,726,196
nagtapos,727,196
parangal,728,195
center,729,194
pablo,730,194
united,731,194
awitin,732,194
gumamit,733,194
paggamot,734,194
ce,735,193
marami,736,193
enerhiya,737,193
kalayaan,738,193
matinding,739,193
pinakamahusay,740,193
don,741,192
luzon,742,192
records,743,192
espesyal,744,192
kontrol,745,192
natagpuan,746,192
pagtatayo,747,192
pangangailangan,748,192
pahayag,749,191
binigyan,750,190
halalan,751,190
nakikita,752,190
selula,753,190
solong,754,190
tula,755,190
india,756,189
hilaga,757,189
larong,758,189
mahalaga,759,189
pagtatapos,760,189
pormal,761,189
iyong,762,188
karne,763,188
network,764,188
sampung,765,188
pilipinong,766,187
bundok,767,187
gilid,768,187
nakatuon,769,187
pagbibigay,770,187
pari,771,187
pinsala,772,187
programang,773,187
punto,774,187
padre,775,186
itim,776,186
kakayahang,777,186
nayon,778,186
paglikha,779,186
ako,780,185
humantong,781,185
malinaw,782,185
natapos,783,185
taunang,784,185
south,785,184
kailangang,786,184
nga,787,184
nasa,788,183
bahaging,789,183
kalagayan,790,183
mas,791,182
barangay,792,182
isyu,793,182
kinakailangan,794,182
konsepto,795,182
nangungunang,796,182
sakop,797,182
papa,798,181
inihayag,799,181
kalahati,800,181
lumang,801,181
makita,802,181
nagawa,803,181
upang,804,180
munisipalidad,805,180
pagdating,806,180
patakaran,807,180
ginawang,808,178
grupong,809,178
kumakatawan,810,178
naturang,811,178
panlipunan,812,178
bce,813,177
drama,814,177
kinuha,815,177
lalake,816,177
pagsasanay,817,177
binuksan,818,176
kaharian,819,176
kalapit,820,176
katotohanan,821,176
pamahalaang,822,176
tanggapan,823,176
la,824,175
una,825,175
bumuo,826,175
dantaon,827,175
kalagitnaan,828,175
klima,829,175
naitala,830,175
nobela,831,175
pribadong,832,175
studio,833,175
italya,834,174
ideya,835,174
lindol,836,174
david,837,173
st,838,173
aktor,839,173
listahan,840,173
association,841,172
high,842,172
samantala,843,172
kasamang,844,172
normal,845,172
binago,846,170
kasal,847,170
magandang,848,170
nangangailangan,849,170
pagsulat,850,170
siyam,851,170
kalaunang,852,169
komunidad,853,169
panig,854,169
gayundin,855,168
hilagang,856,168
impeksiyon,857,168
lokasyon,858,168
nabanggit,859,168
natitirang,860,168
produksiyon,861,168
teritoryo,862,168
james,863,167
agad,864,167
kinikilala,865,167
kundi,866,167
araw,867,166
espanyol,868,166
kritiko,869,166
naniniwala,870,166
tala,871,166
ginto,872,165
naglabas,873,165
nagpatuloy,874,165
pera,875,165
senso,876,165
temperatura,877,165
britanya,878,164
israel,879,164
bababa,880,164
baybayin,881,164
kinatawan,882,164
materyal,883,164
mukha,884,164
pangkalahatan,885,164
pinangalanang,886,164
puso,887,164
tradisyon,888,164
hiwalay,889,163
kahoy,890,163
kalikasan,891,163
malawakang,892,163
dna,893,162
ating,894,162
libro,895,162
media,896,162
posibleng,897,162
puwesto,898,162
sundalo,899,162
tulay,900,162
ministro,901,161
institusyon,902,161
kanluran,903,161
pangkaraniwang,904,161
hukbo,905,160
nagdulot,906,160
samahan,907,160
ulit,908,160
awiting,909,159
dati,910,159
sangkap,911,159
silangan,912,159
ulat,913,159
pedro,914,158
quezon,915,158
tokyo,916,158
artikulo,917,158
del,918,158
karanasan,919,158
personal,920,158
pinaka,921,158
terminong,922,158
london,923,157
datos,924,157
estudyante,925,157
kasunduan,926,157
kondisyon,927,157
magagamit,928,157
music,929,157
tatlo,930,157
kanyang,931,156
ginanap,932,156
ipinalabas,933,156
katayuan,934,156
panitikan,935,156
popular,936,156
interes,937,155
isla,938,155
kanser,939,155
kompyuter,940,155
pagtatanghal,941,155
pamilyang,942,155
pansin,943,155
yunit,944,155
north,945,154
apoy,946,154
gitnang,947,154
inilarawan,948,154
kaunting,949,154
kita,950,154
manga,951,154
nahahati,952,154
on,953,154
puntos,954,154
bk,955,153
canada,956,153
institute,957,153
silangang,958,153
bukas,959,153
seryeng,960,153
sibil,961,153
tradisyonal,962,153
boto,963,152
gastos,964,152
impluwensiya,965,152
inilagay,966,152
matagal,967,152
pinangalanan,968,152
pinatay,969,152
teksto,970,152
liwanag,971,151
mainit,972,151
ministro,973,151
parang,974,151
record,975,151
sasakyan,976,151
tila,977,151
track,978,151
anyong,979,150
likod,980,150
makasaysayang,981,150
mismong,982,150
organisasyon,983,150
simbolo,984,150
kalusugan,985,149
magmula,986,149
natitira,987,149
nilalang,988,149
panloob,989,149
petsa,990,149
tinanggap,991,149
ikalawang,992,148
philippines,993,148
dinala,994,148
nagwagi,995,148
nauugnay,996,148
nilalaman,997,148
blg,998,147
malayang,999,147
nakatira,1000,147
natural,1001,147
species,1002,147
sulat,1003,147
umaabot,1004,147
namatay,1005,146
hinirang,1006,146
ipinakita,1007,146
kagamitan,1008,146
kakulangan,1009,146
lawak,1010,146
medalya,1011,146
metal,1012,146
nananatiling,1013,146
pagpatay,1014,146
sanggol,1015,146
tumaas,1016,146
